symbol,Open,High,Low,Close,Volume,ema_9,ema_10,vol_ma,rsi_daily,rsi_weekly,rsi_monthly,base_score,vol_surge,alpha_score,is_rocket,bullish_htf,signal
AVGO,418.5,435.30999755859375,417.0,422.010009765625,22562900,418.9071475624824,418.9096287471332,18870305.0,56.46095970344692,64.42159042704148,72.96799300461704,66.2480253133528,1.1956828466736493,66.2480253133528,False,True,True
MO,74.0,74.11000061035156,71.80000305175781,72.37000274658203,9219500,72.74921028982561,72.6296541075581,9744985.0,57.08541727549029,63.288812969232744,73.6719376297102,66.20138369467523,0.9460763664592609,66.20138369467523,False,True,False
KMI,33.630001068115234,33.689998626708984,32.849998474121094,32.869998931884766,8509300,33.28868451959378,33.2464312714541,10470940.0,51.30825742373283,65.58395208467356,73.22081129006101,65.7835568346404,0.8126586533778247,65.7835568346404,False,True,False
PLD,146.99000549316406,147.92999267578125,146.50999450683594,146.94000244140625,2480300,144.3066807017027,144.14291963120885,3001970.0,64.43161052979531,64.327377087572,67.72909812163368,65.70891218964134,0.8262241128325732,65.70891218964134,False,True,True
PANW,258.1700134277344,259.8399963378906,250.77000427246097,256.75,7164000,243.53421172695022,241.3784911368278,7835065.0,79.4740823329592,73.33844414701808,51.09880479112608,65.66971604184951,0.9143510615419272,65.66971604184951,False,True,True
RIOT,25.155000686645508,26.299999237060547,25.13999938964844,26.079999923706055,16734000,24.176104463854305,24.040469602357295,19065410.0,70.87366327498165,69.97989090001563,58.51141752025174,65.57125602310329,0.877715192067729,65.57125602310329,False,True,True
ROKU,127.0,129.14999389648438,125.27999877929688,127.61000061035156,1536400,125.13285488823638,124.99461197085684,2628050.0,63.68440288946682,63.85561569459047,68.18130971610843,65.55165074217292,0.5846159700157911,65.55165074217292,False,True,True
BKR,66.05999755859375,67.91999816894531,65.81999969482422,66.7300033569336,8303600,65.9483919971698,65.91399297731813,7609600.0,56.498012198219065,60.93963437366645,74.4069896774341,65.43825206008404,1.0912005887300251,65.43825206008404,False,True,True
MCHP,95.83999633789062,99.97000122070312,95.22000122070312,98.0500030517578,13087000,94.37140446621281,94.31509295373546,11602265.0,63.63306667387843,68.16388957985365,62.327690846497084,64.92324550531599,1.1279694094213502,64.92324550531599,False,True,True
KO,80.83999633789062,81.5999984741211,80.23999786376953,80.45999908447266,13004200,80.76120432908488,80.67257082414555,14920360.0,58.01374081628655,67.15737444926964,65.47729765209021,64.65661700380124,0.8715741443235954,64.65661700380124,False,True,False
SPG,205.27000427246097,207.1499938964844,204.6000061035156,206.94000244140625,1257600,203.75680312290376,203.61945369055954,1351925.0,59.88969531592427,62.48938352721548,67.87964469310924,64.12555035131476,0.9302291177395196,64.12555035131476,False,True,True
JNJ,233.0,233.2400054931641,229.0800018310547,230.17999267578125,6619600,228.874841496316,228.66418410151377,7490100.0,52.865800190313095,59.607967562012576,73.79665969583677,63.93501094120236,0.8837799228314709,63.93501094120236,False,True,True
CVS,93.05999755859376,93.51000213623048,90.70999908447266,90.7300033569336,5623600,92.76013972992143,92.58686782401149,8902820.0,57.360410233296854,66.8445324668823,64.2344583138678,63.90367835895942,0.6316650229927147,63.90367835895942,False,True,False
WBD,27.0,27.040000915527344,26.899999618530273,27.0,23876200,27.106662422469608,27.109762673566046,15951460.0,44.674732174042276,59.152499807263446,77.39605544448355,63.55436853550725,1.4968034273978683,63.55436853550725,False,True,False
TJX,158.3000030517578,159.80999755859375,157.0,158.97000122070312,4721700,155.10781396821358,154.88783605615055,5861155.0,59.34881395231645,56.6252716995375,72.2715874853559,63.42850646442066,0.8055920718697935,63.42850646442066,False,True,True
VZ,48.290000915527344,48.689998626708984,47.86000061035156,48.4900016784668,23013700,47.83478831998179,47.78957703156806,20865345.0,59.0432162784958,60.264663890208354,68.50826433515829,63.31781454584582,1.1029628314317352,63.31781454584582,False,True,True
AEP,131.94000244140625,132.1199951171875,130.52000427246094,130.89999389648438,5996400,129.94658902534118,129.97860527291732,4810555.0,50.31070558453058,57.3208512898075,75.23837479481426,63.085831550754826,1.2465089786937267,63.085831550754826,False,True,True
AMZN,267.94000244140625,269.29998779296875,262.07000732421875,265.2900085449219,38028100,265.87464611622266,265.8568089929937,43519735.0,56.612868445410385,64.31265166254983,64.62679239169412,62.89835131077966,0.8738127656337981,62.89835131077966,False,True,False
F,14.779999732971191,15.550000190734863,14.779999732971191,15.31999969482422,90423300,13.851664760524741,13.759292969972273,73896165.0,71.96353734483185,66.06299256791311,54.794045689938635,62.735522772107075,1.223653487295315,62.735522772107075,False,True,True
CDNS,380.0,383.239990234375,369.6199951171875,381.75,1964700,360.46956872423993,359.39732137778935,2260320.0,71.4728246882012,64.64899687405591,56.12361630358426,62.6036102086963,0.8692132087492036,62.6036102086963,False,True,True
NVDA,216.5399932861328,218.17999267578125,212.0,214.86000061035156,187202600,218.70359466274755,218.54184560271702,162652965.0,53.262225860661275,62.09812807613657,66.8682076202958,62.23897945070521,1.150932600583088,62.23897945070521,False,True,False
LIN,517.8499755859375,519.0800170898438,512.6900024414062,514.969970703125,2099100,510.9144142911398,510.45679337107964,2047515.0,57.891922547648846,63.821831596936995,62.2360900846397,62.00155318216045,1.025193954623043,62.00155318216045,False,True,True
GM,79.30000305175781,80.16999816894531,78.66999816894531,79.79000091552734,5021700,77.06207599239599,76.99261277097828,7263520.0,58.19856126752766,55.857263054421864,69.98298922934322,61.975813167011566,0.6913590105073022,61.975813167011566,False,True,True
UNP,266.2200012207031,272.6600036621094,266.1499938964844,271.1000061035156,3092300,268.1224022631676,267.9873354551174,2678450.0,59.60588604977743,62.31652615317653,62.42347361104792,61.817177115645265,1.1545110044988707,61.817177115645265,False,True,True
ZM,105.21499633789062,105.21499633789062,99.66000366210938,100.08999633789062,5426500,100.70523493299207,100.69844976718711,5721615.0,52.92399763918012,63.32831856945202,64.20424720149734,61.597825836215776,0.948421031474505,61.597825836215776,False,True,False
BMY,59.619998931884766,59.779998779296875,58.029998779296875,58.029998779296875,8159500,58.15936608759363,58.100819344758165,10305855.0,50.42715065060822,59.44961721238423,68.66483152750334,61.33120962607668,0.7917344072859555,61.33120962607668,False,True,False
MET,83.81999969482422,84.5199966430664,82.81999969482422,83.2699966430664,3381000,81.93725190969955,81.72795230389457,3299035.0,68.23298349060002,63.1930876483934,55.39807700103865,61.08306255789283,1.0248451441103232,61.08306255789283,False,True,True
XOM,153.5,154.5500030517578,149.47000122070312,149.80999755859375,13057800,154.13270858722098,154.0423064477984,17307210.0,45.283789910747174,59.64583784164181,69.92469512770339,60.884971169887514,0.7544716912777969,60.884971169887514,False,True,False
PM,189.77999877929688,190.0,181.1199951171875,181.52999877929688,4945300,185.90025496578934,185.48258957091363,4823830.0,54.83060038227522,64.7242532894114,60.01930241835017,60.86354235955967,1.0251812356571437,60.86354235955967,False,True,False
USB,55.15999984741211,55.4900016784668,54.7400016784668,55.220001220703125,5636200,54.47100553834985,54.47457587105871,8216965.0,54.03707066868325,54.53562617090899,69.7173340998006,60.50859824202049,0.6859223569773024,60.50859824202049,False,True,True
TGT,126.5199966430664,126.8499984741211,124.0500030517578,125.43000030517578,4455500,124.59364270656783,124.5527105589624,5937000.0,52.60610025610873,64.6724932216066,60.17150634861283,60.45881987930952,0.7504631969007917,60.45881987930952,False,True,True
MRK,122.9000015258789,123.12999725341795,119.41000366210938,119.72000122070312,10008700,116.13236142262917,115.87350713486632,8953875.0,60.469703746251426,64.84742178574507,55.81971963143345,60.3607973161217,1.1178065362761933,60.3607973161217,False,True,True
SCCO,184.4900054931641,190.0,184.0099945068359,189.8800048828125,1066300,180.2611922667062,180.07548376688203,1356692.25,58.58932213678466,55.73477934042002,64.47002540188072,59.799786324277235,0.7859556948158287,59.799786324277235,False,True,True
JPM,308.489990234375,309.92999267578125,305.44000244140625,306.739990234375,7725400,303.4112859339468,303.42750828685564,7991840.0,53.18886328132476,52.66286341215943,69.90414445125332,59.66457580163005,0.9666609942140983,59.66457580163005,False,True,True
LLY,1075.0,1082.0,1060.3599853515625,1064.739990234375,2981000,1027.106918340147,1023.3208111941249,3463205.0,68.56311689456659,60.465240822273394,53.839971141483375,59.43470816441603,0.8607633680362554,59.43470816441603,False,True,True
CVX,190.0,190.4900054931641,183.8999938964844,184.7100067138672,14264600,189.15229923351475,189.05979493840618,10229525.0,44.714943976665495,60.16564261185322,65.65492947100248,59.271217628475384,1.3944537991744486,59.271217628475384,False,True,False
DUK,125.6999969482422,125.80999755859376,124.9499969482422,124.97000122070312,2877000,124.36947279935485,124.35995170958198,3206775.0,49.44172982587906,52.88828513420497,70.40309469425793,59.20489789656098,0.897163037631265,59.20489789656098,False,True,True
WMT,120.69000244140624,121.0500030517578,117.91999816894533,118.56999969482422,28796600,125.87399219518018,126.23950115446277,19769405.0,32.047811265951594,49.25640077459784,82.51677245096421,59.11883154341514,1.4566245165193388,59.11883154341514,False,False,False
SO,94.8000030517578,94.8000030517578,93.75,94.08999633789062,4168900,93.72867426939732,93.68597051112127,5681930.0,52.26734202883173,54.6574649997203,66.94321880825231,59.093741928955396,0.7337119605486164,59.093741928955396,False,True,True
